timestamp	voltage	temperature
536199	14.2	23.8
536351	14.2	23.8
536503	14.2	23.8
536655	14.2	23.8
536807	14.2	24
536959	14.2	23.8
537113	14.2	23.8
537265	14.2	23.8
537417	14.2	23.8
537569	14.2	23.8
537873	14.2	23.8
538025	14.2	23.8
538177	14.2	23.8
538329	14.2	23.8
538481	14.2	23.8
538633	14.2	23.8
538783	14.2	23.8
538935	14.2	23.8
539087	14.2	23.8
539239	14.2	23.8
539391	14.2	23.8
539543	14.2	23.8
539695	14.2	23.8
539847	14.2	23.8
539999	14.2	23.8
540151	14.2	23.8
540305	14.2	23.8
540609	14.2	23.8
540761	14.2	23.8
540913	14.2	23.8
541065	14.2	23.8
541217	14.2	23.8
541369	14.2	23.8
541521	14.2	23.8
541673	14.2	23.8
541825	14.2	23.8
541979	14.2	23.8
542131	14.2	23.8
542283	14.2	23.8
542435	14.2	23.8
542587	14.2	23.8
542739	14.2	23.8
542891	14.2	23.8
543043	14.2	23.8
543195	14.2	23.8
543347	14.2	23.8
543501	14.2	23.8
543653	14.2	23.8
543805	14.2	23.8
543957	14.2	23.8
544109	14.2	23.8
544261	14.2	23.8
544413	14.2	23.8
544565	14.2	23.8
544717	14.2	23.8
544869	14.2	23.8
545021	14.2	23.8
545175	14.2	23.8
545327	14.2	23.8
545479	14.2	23.8
545631	14.2	24
545783	14.2	23.8
545935	14.2	23.8
546087	14.2	23.8
546239	14.2	23.8
546391	14.2	23.8
546543	14.2	23.8
546697	14.2	23.8
546849	14.2	23.8
547001	14.2	23.8
547153	14.2	23.8
547305	14.2	23.8
547457	14.2	23.8
547609	14.2	23.8
547761	14.2	23.8
547913	14.2	23.8
548065	14.2	23.8
548217	14.2	23.8
548371	14.2	23.8
548523	14.2	23.8
548675	14.2	23.8
548827	14.2	23.8
548979	14.2	24
549131	14.2	23.8
549283	14.2	23.8
549435	14.2	23.8
549587	14.2	23.8
549739	14.2	23.8
549891	14.2	23.8
550045	14.2	23.8
550197	14.2	23.8
