timestamp	max	min	average
3495767	19	17	18
3495968	19	17	18
3496168	19	17	18
3496369	19	17	18
3496569	19	17	18
3496770	19	17	18
3496970	19	17	18
3497170	19	17	18
3497371	19	17	18
3497571	19	17	18
3497772	19	17	18
3497972	19	17	18
3498173	19	17	18
3498373	19	17	18
3498573	19	17	18
3498774	19	17	18
3498974	19	17	18
3499175	19	17	18
3499375	19	17	18
3499576	19	17	18
3499776	19	17	18
3499976	19	17	18
3500177	19	17	18
3500377	19	17	18
3500578	19	17	18
3500778	19	17	18
3500979	19	17	18
3501179	19	17	18
3501379	19	17	18
3501580	19	17	18
3501780	19	17	18
3501981	19	17	18
3502181	19	17	18
3502382	19	17	18
3502582	19	17	18
3502783	19	17	18
3502983	19	17	18
3503183	19	17	18
3503384	19	17	18
3503584	19	17	18
3503785	19	17	18
3503985	19	17	18
3504186	19	17	18
3504386	19	17	18
3504587	19	17	18
3504787	19	17	18
3504987	19	17	18
3505188	19	17	18
3505388	19	17	18
3505589	19	17	18
3505789	19	17	18
3505990	19	17	18
3506190	19	17	18
3506391	19	17	18
3506591	19	17	18
3506792	19	17	18
3506992	19	17	18
3507193	19	17	18
3507393	19	17	18
3507594	19	17	18
3507794	19	17	18
3507995	19	17	18
3508195	19	17	18
3508396	19	17	18
3508596	19	17	18
3508797	19	17	18
3508997	19	17	18
3509197	19	17	18
3509398	19	17	18
3509598	19	17	18
3509799	19	17	18
3509999	19	17	18
3510200	19	17	18
3510400	19	17	18
3510601	19	17	18
3510801	19	17	18
3511002	19	17	18
3511202	19	17	18
3511402	19	17	18
3511603	19	17	18
3511803	19	17	18
3512004	19	17	18
3512204	19	17	18
3512405	19	17	18
3512605	19	17	18
3512806	19	17	18
3513006	19	17	18
3513207	19	17	18
3513407	19	17	18
3513608	19	17	18
3513808	19	17	18
3514008	19	17	18
3514209	19	17	18
3514409	19	17	18
3514610	19	17	18
3514810	19	17	18
3515011	19	17	18
3515211	19	17	18
3515412	19	17	18
3515612	19	17	18
3515813	19	17	18
3516013	19	17	18
3516214	19	17	18
3516414	19	17	18
3516614	19	17	18
3516815	19	17	18
3517015	19	17	18
3517216	19	17	18
3517416	19	17	18
3517617	19	17	18
3517817	19	17	18
3518018	19	17	18
3518218	19	17	18
3518419	19	17	18
3518619	19	17	18
3518820	19	17	18
3519020	19	17	18
3519220	19	17	18
3519421	19	17	18
3519621	19	17	18
3519822	19	17	18
3520022	19	17	18
3520223	19	17	18
3520424	19	17	18
3520624	19	17	18
3520824	19	17	18
3521025	19	17	18
3521225	19	17	18
3521426	19	17	18
3521626	19	17	18
3521827	19	17	18
3522027	19	17	18
3522228	19	17	18
3522428	19	17	18
3522629	19	17	18
3522829	19	17	18
3523030	19	17	18
3523230	19	17	18
3523431	19	17	18
3523631	19	17	18
3523832	19	17	18
3524032	19	17	18
3524232	19	17	18
3524433	19	17	18
3524633	19	17	18
3524834	19	17	18
3525034	19	17	18
3525235	19	17	18
3525435	19	17	18
3525636	19	17	18
3525836	19	17	18
3526037	19	17	18
3526237	19	17	18
3526438	19	17	18
3526638	19	17	18
3526839	19	17	18
3527039	19	17	18
3527239	19	17	18
3527440	19	17	18
3527640	19	17	18
3527841	19	17	18
3528041	19	17	18
3528242	19	17	18
3528442	19	17	18
3528643	19	17	18
3528843	19	17	18
3529044	19	17	18
3529244	19	17	18
3529445	19	17	18
3529645	19	17	18
3529846	19	17	18
3530046	19	17	18
3530247	19	17	18
3530447	19	17	18
3530648	19	17	18
3530848	19	17	18
3531049	19	17	18
3531249	19	17	18
3531449	19	17	18
3531650	19	17	18
3531850	19	17	18
3532051	19	17	18
3532251	19	17	18
3532452	19	17	18
3532652	19	17	18
3532853	19	17	18
3533053	19	17	18
3533254	19	17	18
3533454	19	17	18
3533655	19	17	18
3533855	19	17	18
3534056	19	17	18
3534256	19	17	18
3534456	19	17	18
3534657	19	17	18
3534857	19	17	18
3535058	19	17	18
3535258	19	17	18
3535459	19	17	18
3535659	19	17	18
3535860	19	17	18
3536060	19	17	18
3536261	19	17	18
3536461	19	17	18
3536661	19	17	18
3536862	19	17	18
3537062	19	17	18
3537263	19	17	18
3537463	19	17	18
3537664	19	17	18
3537864	19	17	18
3538064	19	17	18
3538265	19	17	18
3538465	19	17	18
3538666	19	17	18
3538866	19	17	18
3539067	19	17	18
3539267	19	17	18
3539467	19	17	18
3539668	19	17	18
3539868	19	17	18
3540069	19	17	18
3540269	19	17	18
3540469	19	17	18
3540670	19	17	18
3540870	19	17	18
3541070	19	17	18
3541271	19	17	18
3541471	19	17	18
3541672	19	17	18
3541872	19	17	18
3542073	19	17	18
3542273	19	17	18
3542473	19	17	18
3542674	19	17	18
3542874	19	17	18
3543075	19	17	18
3543275	19	17	18
3543475	19	17	18
3543676	19	17	18
3543876	19	17	18
3544077	19	17	18
3544277	19	17	18
3544478	19	17	18
3544678	19	17	18
3544878	19	17	18
3545079	19	17	18
3545279	19	17	18
3545480	19	17	18
3545680	19	17	18
3545880	19	17	18
3546081	19	17	18
3546281	19	17	18
3546482	19	17	18
3546682	19	17	18
3546882	19	17	18
3547083	19	17	18
3547283	19	17	18
3547484	19	17	18
3547684	19	17	18
3547884	19	17	18
3548085	19	17	18
3548285	19	17	18
3548486	19	17	18
3548686	19	17	18
3548887	19	17	18
3549087	19	17	18
3549287	19	17	18
3549488	19	17	18
3549688	19	17	18
3549889	19	17	18
3550089	19	17	18
3550290	19	17	18
3550490	19	17	18
3550690	19	17	18
3550891	19	17	18
3551091	19	17	18
3551292	19	17	18
3551492	19	17	18
3551693	19	17	18
3551893	19	17	18
3552094	19	17	18
3552294	19	17	18
3552494	19	17	18
3552695	19	17	18
3552895	19	17	18
3553096	19	17	18
3553296	19	17	18
3553497	19	17	18
3553697	19	17	18
3553898	19	17	18
3554098	19	17	18
3554298	19	17	18
3554499	19	17	18
3554699	19	17	18
3554900	19	17	18
3555100	19	17	18
3555301	19	17	18
3555501	19	17	18
3555701	19	17	18
3555902	19	17	18
3556102	19	17	18
3556303	19	17	18
3556503	19	17	18
3556704	19	17	18
3556904	19	17	18
3557105	19	17	18
3557305	19	17	18
3557506	19	17	18
3557706	19	17	18
3557906	19	17	18
3558107	19	17	18
3558307	19	17	18
3558508	19	17	18
3558708	19	17	18
3558909	19	17	18
3559109	19	17	18
3559310	19	17	18
3559510	19	17	18
3559710	19	17	18
3559911	19	17	18
3560111	19	17	18
3560312	19	17	18
3560512	19	17	18
3560713	19	17	18
3560913	19	17	18
3561114	19	17	18
3561314	19	17	18
3561515	19	17	18
3561715	19	17	18
3561915	19	17	18
3562116	19	17	18
3562316	19	17	18
3562517	19	17	18
3562717	19	17	18
3562918	19	17	18
3563118	19	17	18
3563319	19	17	18
3563519	19	17	18
3563719	19	17	18
3563920	19	17	18
3564120	19	17	18
3564321	19	17	18
3564521	19	17	18
3564722	19	17	18
3564922	19	17	18
3565122	19	17	18
3565323	19	17	18
3565523	19	17	18
3565724	19	17	18
3565924	19	17	18
3566125	19	17	18
3566325	19	17	18
3566526	19	17	18
3566726	19	17	18
3566927	19	17	18
3567127	19	17	18
3567328	19	17	18
3567528	19	17	18
3567728	19	17	18
3567929	19	17	18
3568129	19	17	18
3568330	19	17	18
3568530	19	17	18
3568731	19	17	18
3568931	19	17	18
3569132	19	17	18
3569332	19	17	18
3569533	19	17	18
3569733	19	17	18
3569933	19	17	18
3570134	19	17	18
3570334	19	17	18
3570535	19	17	18
3570735	19	17	18
3570936	19	17	18
3571136	19	17	18
3571336	19	17	18
3571537	19	17	18
3571737	19	17	18
3571938	19	17	18
3572138	19	17	18
3572338	19	17	18
3572539	19	17	18
3572739	19	17	18
3572940	19	17	18
3573140	19	17	18
3573341	19	17	18
3573541	19	17	18
3573741	19	17	18
3573942	19	17	18
3574142	19	17	18
3574343	19	17	18
3574543	19	17	18
3574744	19	17	18
3574944	19	17	18
3575144	19	17	18
3575345	19	17	18
3575545	19	17	18
3575746	19	17	18
3575946	19	17	18
3576147	19	17	18
3576347	19	17	18
3576547	19	17	18
3576748	19	17	18
3576948	19	17	18
3577149	19	17	18
3577349	19	17	18
3577549	19	17	18
3577750	19	17	18
3577950	19	17	18
3578151	19	17	18
3578351	19	17	18
3578552	19	17	18
3578752	19	17	18
3578952	19	17	18
3579153	19	17	18
3579353	19	17	18
3579554	19	17	18
3579754	19	17	18
3579954	19	17	18
3580155	19	17	18
3580355	19	17	18
3580556	19	17	18
3580756	19	17	18
3580957	19	17	18
3581157	19	17	18
3581357	19	17	18
3581558	19	17	18
3581758	19	17	18
3581959	19	17	18
3582159	19	17	18
3582360	19	17	18
3582561	19	17	18
3582760	19	17	18
3582961	19	17	18
3583161	19	17	18
3583362	19	17	18
3583562	19	17	18
