timestamp	max	min	total
3449814	3.728	3.6818	400.42
3449884	3.7279	3.6816	400.42
3449896	3.7279	3.6817	400.4201
3449935	3.728	3.6818	400.4199
3449975	3.7279	3.6817	400.4212
3450015	3.7279	3.6817	400.4208
3450084	3.7279	3.6818	400.42
3450096	3.7279	3.6817	400.4202
3450135	3.7279	3.6817	400.4197
3450175	3.7279	3.6818	400.4207
3450215	3.7279	3.6818	400.4201
3450284	3.7278	3.6818	400.4205
3450296	3.7278	3.6818	400.4207
3450335	3.7279	3.6818	400.42
3450376	3.7279	3.6818	400.4207
3450416	3.728	3.6817	400.422
3450485	3.7278	3.6818	400.42
3450497	3.7278	3.6818	400.4206
3450536	3.728	3.6818	400.4212
3450576	3.7279	3.6817	400.4208
3450616	3.7279	3.6818	400.4208
3450685	3.7279	3.6818	400.4206
3450697	3.7279	3.6818	400.422
3450736	3.7278	3.6818	400.4208
3450776	3.7279	3.6818	400.4209
3450816	3.7278	3.6818	400.4189
3450886	3.7279	3.6817	400.4205
3450898	3.7279	3.6817	400.4206
3450937	3.7279	3.6818	400.4209
3450977	3.7278	3.6817	400.4191
3451017	3.7279	3.6818	400.4205
3451086	3.7279	3.6816	400.4204
3451098	3.7279	3.6817	400.4205
3451137	3.7279	3.6818	400.4204
3451177	3.7278	3.6818	400.4215
3451218	3.7279	3.6818	400.4211
3451286	3.728	3.6816	400.421
3451298	3.728	3.6817	400.4207
3451337	3.728	3.6817	400.4201
3451378	3.7279	3.6817	400.4204
3451418	3.7279	3.6817	400.4205
3451487	3.7279	3.6817	400.4206
3451499	3.7279	3.6816	400.4199
3451538	3.7279	3.6817	400.4203
3451578	3.7278	3.6817	400.4208
3451618	3.728	3.6818	400.4205
3451687	3.728	3.6816	400.4213
3451699	3.728	3.6817	400.4206
3451738	3.7279	3.6818	400.4199
3451778	3.728	3.6817	400.421
3451818	3.728	3.6817	400.4213
3451888	3.728	3.6816	400.4214
3451900	3.728	3.6817	400.4226
3451939	3.728	3.6817	400.4193
3451979	3.7279	3.6818	400.4199
3452019	3.7279	3.6818	400.4224
3452088	3.728	3.6817	400.4209
3452100	3.728	3.6817	400.4205
3452139	3.728	3.6816	400.4202
3452179	3.7278	3.6817	400.4199
3452219	3.7279	3.6817	400.421
3452288	3.728	3.6817	400.4209
3452300	3.728	3.6817	400.4199
3452339	3.7279	3.6817	400.421
3452380	3.728	3.6817	400.4209
3452420	3.7279	3.6817	400.4205
3452489	3.7279	3.6818	400.42
3452501	3.7279	3.6818	400.4203
3452540	3.7279	3.6817	400.4201
3452580	3.728	3.6817	400.4201
3452620	3.7279	3.6817	400.4198
3452689	3.7279	3.6818	400.421
3452701	3.7279	3.6817	400.4205
3452743	3.7279	3.6817	400.4204
3452780	3.7279	3.6818	400.42
3452820	3.7279	3.6818	400.4218
3452890	3.7279	3.6817	400.4207
3452902	3.7279	3.6817	400.4207
3452941	3.7279	3.6817	400.4198
3452981	3.728	3.6818	400.42
3453021	3.7278	3.6817	400.4209
3453090	3.7279	3.6817	400.4209
3453102	3.7279	3.6818	400.4203
3453141	3.7279	3.6818	400.4213
3453181	3.7279	3.6817	400.4194
3453221	3.728	3.6817	400.42
3453290	3.7279	3.6818	400.421
3453302	3.7279	3.6817	400.4207
3453342	3.7279	3.6817	400.4203
3453382	3.7279	3.6817	400.4201
3453422	3.7278	3.6816	400.4204
3453491	3.7279	3.6818	400.4207
3453503	3.7279	3.6818	400.42
3453542	3.7278	3.6818	400.4215
3453582	3.7279	3.6817	400.4216
3453622	3.7278	3.6817	400.4205
3453691	3.7279	3.6817	400.4199
3453703	3.7279	3.6816	400.4191
3453742	3.728	3.6817	400.4216
3453783	3.728	3.6817	400.42
3453823	3.7281	3.6818	400.421
3453892	3.7279	3.6817	400.4203
3453904	3.7279	3.6817	400.4209
3453943	3.728	3.6817	400.4215
3453983	3.7279	3.6818	400.4207
3454023	3.7279	3.6817	400.4205
3454092	3.728	3.6817	400.4208
3454104	3.728	3.6816	400.4215
3454143	3.728	3.6817	400.4209
3454183	3.7279	3.6816	400.4201
3454223	3.7279	3.6818	400.4201
3454293	3.7279	3.6817	400.4205
3454305	3.7279	3.6817	400.4206
3454344	3.7279	3.6816	400.4208
3454384	3.728	3.6818	400.419
3454424	3.7279	3.6818	400.4218
3454493	3.728	3.6816	400.4191
3454505	3.728	3.6816	400.4198
3454544	3.7279	3.6817	400.4211
3454584	3.7279	3.6817	400.4204
3454624	3.7279	3.6817	400.4197
3454693	3.7279	3.6817	400.4206
3454705	3.7279	3.6818	400.4197
3454745	3.7279	3.6817	400.4205
3454788	3.7279	3.6818	400.4203
3454825	3.7279	3.6818	400.4203
3454894	3.7279	3.6818	400.4205
3454906	3.7279	3.6817	400.4208
3454945	3.7279	3.6817	400.422
3454985	3.7279	3.6817	400.4217
3455025	3.7279	3.6818	400.421
3455094	3.7279	3.6818	400.4203
3455106	3.7279	3.6818	400.421
3455145	3.7279	3.6817	400.4207
3455185	3.7279	3.6817	400.4215
3455226	3.7279	3.6817	400.4204
3455295	3.7278	3.6818	400.4209
3455307	3.7278	3.6816	400.4206
3455346	3.7279	3.6818	400.4207
3455386	3.7279	3.6818	400.4225
3455426	3.7279	3.6818	400.4208
3455495	3.7279	3.6817	400.4201
3455507	3.7279	3.6817	400.421
3455546	3.728	3.6817	400.42
3455586	3.7279	3.6817	400.4208
3455626	3.728	3.6817	400.421
3455695	3.7279	3.6818	400.4212
3455708	3.7279	3.6818	400.4202
3455747	3.7279	3.6818	400.4207
3455787	3.7279	3.6818	400.421
3455827	3.7279	3.6818	400.4199
3455896	3.7278	3.6817	400.4202
3455908	3.7278	3.6818	400.4205
3455947	3.728	3.6817	400.4194
3455987	3.7279	3.6818	400.4205
3456027	3.728	3.6817	400.4205
3456096	3.728	3.6816	400.4203
3456108	3.728	3.6818	400.42
3456147	3.7279	3.6818	400.4211
3456187	3.728	3.6817	400.4217
3456228	3.7279	3.6816	400.421
3456297	3.728	3.6816	400.4208
